ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
28693,WARRENSVILLE,Warrensville,NC,ASHE,Ashe,36.461478,-81.55572
28694,WEST JEFFERSON,West Jefferson,NC,ASHE,Ashe,36.360784,-81.473539
28697,WILKESBORO,Wilkesboro,NC,WILKES,Wilkes,36.137742,-81.158399
28698,ZIONVILLE,Zionville,NC,WATAUGA,Watauga,36.344038,-81.737562
28699,SCOTTS,Scotts,NC,IREDELL,Iredell,35.8425,-81.0097
28701,ALEXANDER,Alexander,NC,BUNCOMBE,Buncombe,35.706464,-82.650825
28702,ALMOND,Almond,NC,SWAIN,Swain,35.383864,-83.637434
28704,ARDEN,Arden,NC,BUNCOMBE,Buncombe,35.462322,-82.575759
28705,BAKERSVILLE,Bakersville,NC,MITCHELL,Mitchell,36.043874,-82.232506
28707,BALSAM,Balsam,NC,JACKSON,Jackson,35.418728,-83.07925
28708,BALSAM GROVE,Balsam Grove,NC,TRANSYLVANIA,Transylvania,35.235347,-82.891952
28709,BARNARDSVILLE,Barnardsville,NC,BUNCOMBE,Buncombe,35.75313,-82.410935
28710,BAT CAVE,Bat Cave,NC,HENDERSON,Henderson,35.467298,-82.286808
28711,BLACK MOUNTAIN,Black Mountain,NC,BUNCOMBE,Buncombe,35.605042,-82.276717
28712,BREVARD,Brevard,NC,TRANSYLVANIA,Transylvania,35.211194,-82.75938
28713,BRYSON CITY,Bryson City,NC,SWAIN,Swain,35.445608,-83.642504
28714,BURNSVILLE,Burnsville,NC,YANCEY,Yancey,35.891669,-82.312339
28715,CANDLER,Candler,NC,BUNCOMBE,Buncombe,35.51259,-82.714158
28716,CANTON,Canton,NC,HAYWOOD,Haywood,35.459788,-82.86773
28717,CASHIERS,Cashiers,NC,JACKSON,Jackson,35.078206,-83.093726
28718,CEDAR MOUNTAIN,Cedar Mountain,NC,TRANSYLVANIA,Transylvania,35.143676,-82.611027
28719,CHEROKEE,Cherokee,NC,SWAIN,Swain,35.606862,-83.23007
28720,CHIMNEY ROCK,Chimney Rock,NC,RUTHERFORD,Rutherford,35.4393,-82.2469
28721,CLYDE,Clyde,NC,HAYWOOD,Haywood,35.649276,-82.97283
28722,COLUMBUS,Columbus,NC,POLK,Polk,35.250922,-82.116662
28723,CULLOWHEE,Cullowhee,NC,JACKSON,Jackson,35.252109,-83.103672
28724,DANA,Dana,NC,HENDERSON,Henderson,35.3293,-82.3757
28725,DILLSBORO,Dillsboro,NC,JACKSON,Jackson,35.371991,-83.257232
28726,EAST FLAT ROCK,East Flat Rock,NC,HENDERSON,Henderson,35.28099,-82.419278
28727,EDNEYVILLE,Edneyville,NC,HENDERSON,Henderson,35.3922,-82.3425
